token,no_reasons,categ_1
ios15240960008,"I can’t find on the site where the nursing bras are. Nothing comes up when I search “nursing” and there doesn’t seem to be a specific section for them. ",ux
adr152150400024,I'm buying for a friend that lives in the US but I live in the UK and my billing address is in the UK which there is no option for.,ux
adr1521158400515,the concept is confusing.,ux
ios1521158400685,The notification won’t go away,ux
47fe3ef402ea5b1630b62d3e1198c176,"The descriptions on the push up bras were far too vague. The amount of push or padding was only described in the bra offering two cup sizes up, and the sizing was very limited for it. The colour options were also tedious to view. There needs to be an option to view all color options for that style on the browsing page instead of having to go to the product details.",ux
adr15239232005,like many times when I get on I am not able to find my size. I am a 36G and when I put that filter in it tells me there are bras in my size but then when I got to purchase the bra my size isn't listed.,ux
43bdec7cfa3ca2d643dfd02cc8b33098,The website was extremely slow at loading.,ux
adr152409600012,App would not show results found under various sale categories.  Choosing alternate colors almost impossible to navigate.,ux
b7fd1cd2f3a06276d489df9e901c787b,I want to shop by my size and it is too difficult,ux
7ea6bd503b0fc72fd57c7d5bfafdebfa,could not organize by pricing to find something for the amount that is in my price range,ux
ios1521158400535,Product needs to be listed by new items first,ux
adr152115840075,"I had two goals: 1) check my store credit balance history and 2) check my order history.
1) There doesn't appear to be a way for me to verify if my store credit balance is accurate, as there are no transaction histories attached to it.
2) The order history only includes items that were shipped. I have no way of comparing my received order to the actual order I placed, unless I saved the original email confirmation.",ux
ios15240960008,Much tired,ux
adr1521158400479,too many tabs. confusing,ux
adr152150400016,the site sometimes flips from one category to another for example I will see something I like in the email and when I tap on it the website takes me to something entirely different and I never find what I went there to see then I get frustrated and leave,ux
73af10a9721174bba705c634aff9b1da,"There's no way to really organize by ""New"", or ""Lowest First"", etc. I end up having to go through a bunch of things I don't want and have already had to see a bunch of times, and by the time I see a new pair, I'm so exhausted I don't even want to bother shopping anymore.",ux
22d692db78ad2ef09b3781f001de5683,No way to arrange items by newest to oldest - easy to miss new styles,ux
fab55aa652487d5548b6dffeacceb8aa,Your website sucks.,ux
88706a3821568711a5608995aac133a7,"I need to change my wife's sizes and preferences ",ux
ios152254080024,"It won’t let me update my new card.  ",bug
ios152262720050,"It wouldn’t load ",bug
ios152262720062,"App wouldn’t load anything ",bug
ios15226272008,When I touched where I wanted to go it didn’t go there.,bug
1b56a7eda77a3a696ffe9ebf034f3a4d,"Site was too slow - was not a connection issue on my end, all other websites loaded up quickly",bug
ios15211584001358,It didn’t give me the option to swipe,bug
e6187bb846f7e17c97ce1f279726d453,The website would not load,bug
ios152262720056,App wouldn’t allow me,bug
ios1521158400795,I am constantly having problems with the app.,bug
adr1521158400130,"my original acct allowed me to make my purchases and acrew my monthly credits, that acct disappeared and I tried to open it back up with my info.... since December I haven't been able to get into my original acct..... delete me completely from your system.  I don't wish to be part of this inept system.  and neither do any of my friends....",bug
91178b1c16b6704044487f6a17a33538,I could not log in,bug
941ae55be6e332c5b47ee905ea5468c1,"It said I have to use a desktop. I don’t have a computer, only my phone. ",bug
c95751b13d81b047f8a80d78d8e66008,"I can change my password and email, but i cannot login with the new email and password",bug
ios152400960018,"App is keep freezing ",bug
adr152262720019,"The App is undergoing scheduled maintenance.

Other than today I adore Adore Me and find the app to be easy to navigate",bug
adr152115840044,unable to reset my account. I had two accounts and I had to delete one but I can't log on to my other one,bug
ios1521158400955,"I try to
Check
But doesn’t have the option to skip.?!",bug
ios152262720067,The app failed when attempting to access it.,bug
0e55e529bfd3f4a69356ad887a00d48b,I can't seem to be able to add anything to my wishlist. I've tried even removing some items and it's still not working.,bug
ios152271360014,"Nothing on the app would load. It was timing out. It showed I had two things in my cart, but when I tried to access them, it told me my cart was empty. ",bug
ios152271360018,It’s slow,bug
3df6b220b50d562f3bf3b8675d130e0e,"I did not receive a conformation number ",bug
ios1521158400766,"The app crashed ",bug
ios15246144004,"Returns required desktop, not phone app. ",bug
ios152271360015,"App wasn’t working well and didn’t load correctly ",bug
0e208e5b4ef205fd485ca913e3d0e5ba,The server to the site stopped working and i didnt get to see much iteams,bug
adr1521158400540,I have purchased over 6 bra sets and I have yet to see my fee set notification...I received a message and when I clicked it...it disappeared and I have checked for over am week now and it still has not been updated,bug
ios15220224003,"The “Get Help” option in my account dashboard does not and never has worked. I want to close my account. ",bug
ios152236800023,I keep getting an error saying I don’t have internet connection while I am able to open and use all other apps and I’m on wifi,bug
ios1521158400261,"I wanted to see my saved list and the choose was not available at the top. ",bug
adr15225408007,"keep saying to get another card,I have been a customer for 3 years.an I. don't appreciate been treated l",bug
f75922586a9d112f80054c9a694f7c5e,I didn’t place this order,bug
ios152409600036,"I was directed to a desktop site. ",bug
31d99e9270be999b2c7bae0ab6f8a09b,"I never had that kind of problem before. Every  time i look at details or one model in particulier i'll was not table To get back at the list before. I always received the message no answer from site? ",bug
ios152262720055,"The app was freezing. I spent around 20 minutes trying to put something in my cart. After it looked as if it went in my cart, I went to check out but my cart was empty.",bug
adr152409600020,it will not generate a label,bug
ios1521158400622,"I need to delete my account and it won’t delete or get me off vip I don’t care about it I delete the app and I got a bank statement saying you guys took out money even after i deleted my account so it won’t work so deactivate my account please!!!!!
",bug
ios152262720063,Nothing would load. I’ve had a very bad experience over the past few months not just with the app but with Adore Me in general. Not happy. 🤬,bug
ios152271360066,"The site kept lagging out.  I didn’t have the time to wait ",bug
746763d9062962a18b6dcf843d5182b1,Couldn’t find the link or option,bug
ios15227136006,"The app isn’t working well. It won’t fully load the shopping options or allow me to back out of a selected option I have to close the entire app to start over. ",bug
ios152262720059,The app don’t work,bug
75bda583142cdeb690d5e8dca641d84f,"I could not update my cc information. ",bug
ios1521158400533,"The bra set I want is not allowing me to order the panties. It’s not giving me an option to add my panty size ",bug
ios152271360011,"Nothing would load on either the app or the website ",bug
ios152271360010,"The app would not load. It just gave me a blank screen. ",bug
ios15227136002,"It kept getting stuck in loading errors when I tried to sort sleepwear ",bug
08486a49ecec2fc952dc42009a6841f4,"According to the website it hasn’t shipped yet but the package arrived today. ",bug
97f5fd82df6220eaff547d5eb08a37ba,"I have emailed you guys about this a couple days ago, but haven’t received a response. I log in to my account on the app and through the website. It says I have no balance and I know you guys have been taking money out of my account. It says I’m a new customer but I’m able to log in. I would love to buy a suit but I can’t Bc if this issue. ",bug
ios15211584001097,"It doesn’t show it on the app ",bug
adr152115840057,because it is saying I have no order even though I have an email saying I do and the money was withdrawn from my account,bug
f485c5873aa6616f8074115747c67c2e,I was unable to check out,bug
ios15211584001160,"On iPhone X, the back button gets stuck up under the time and won’t recognize the tap, so I have to hard quit the app to get back. This only seems to happen when you view the full screen images, usually after switching to a different color. ",bug
adr152210880012,"sent me a link said I could track it but when I clicked on link it said I had no order
",bug
ios15227136005,"I keep receiving an error message ",bug
ios1521158400787,"The app wouldn't load at all. ",bug
ios1521158400310,No response from app,bug
ios15228864007,For exchanges it says to visit the full desktop site,bug
ios152271360013,"App won’t load ",bug
ios152202240023,Trouble with the app,bug
6e2f3e40156bdbb32831c02bb39554a6," I’ve had problems with this in the past and I’ve emailed you about it countless times when I go on my app I am not able to see the notifications that you send it to my app and it’s very frustrating that I’ve had this problem continuously",bug
ios1521158400341,"I keep getting a message with “order not processed”. 
I’ve called and I’m going to try just one more time. This was order number  #304088522. 
I’m getting ready to close the account, I have over $300 in credit and it’s supposed to go to my girlfriend’s house in Texas. ",bug
adr152461440066,something's wrong with site,bug
027a140a61d58225ba7337c500d6beb7,"The appropriate setting is checked, there's nothing in my spam folder, I'm simply not getting email from Adore Me.",bug
ios15211584001239,"App was not working properly ",bug
ios152262720064,App did not load,bug
ios152262720048,App wouldn’t load content,bug
ios152262720066,App froze up,bug
ios152288640031,Wouldn't let me log in,bug
ios15240960004,"I need to make a return  of a bra I just got. I wore it once ( today) and the underwire is already sticking out. Your site tells me to go to your desktop site for returns. Why? I buy many things online and am able to send them back without a desktop device, which I don't have. ",rma
ios1521158400471,"Not able to see return has gotten back to your service ",rma
144ce1a2b584871f02e89698858f77cf,"I returned an item on April 2 and I have to receive a notice that he item was received! I emailed customer service and I still have no reply ",rma
adr1521158400115,don't want to pay return fee,rma
adr152461440038,return label does not show up.,rma
16edfc9292084fd1710294a3dd9a8576,"my exchange was very difficult today!! I would like to talk to a human but can not find a number. 1 of my exchange codes is invalid, Jeff",rma
adr152141760016,"i want my money back,i return the 3 sets with tje return sticker provide inside the package n took it personally to postal usps! ",rma
4fa70d46d27847a2f0408d1137018869,"Adoreme has taken over 3 weeks to get my return back to the warehouse ",rma
adr152461440058,the link for the return label just takes me to a white screen,rma
83e9fb202498cd83d7233a25859f28c1,I wanted to exchange an order and I coudn´t select the size of the item. Nowhere to be seen.,rma
9ca463b4422654b69da2dbba7c5b556a,"I want to cancel my order#304040519. It has been processing for nearly 30 days and a $10 credit isn't doing anything for me when I'm still waiting for my order because I won't be ordering anything from your site when I haven't gotten the first thing I've ordered. ",rma
ios152176320020,"I was trying to return/exchange a wrong order. ",rma
17386dafa7adebd4461bd8c4336cea1b,I was checking on the status of my vip elete box,elite
ios152340480014,"Nothing about the elite box ",elite
3ff2cbdc7cad8a20f3d1f2e4c1f08105,My April Box was not listed yet,elite
8e95855efca57186ba2e60428f18a700,Cause it was an VIP elite box,elite
0bf38c781bece64a8d8a891a10b45c69,Because it doesn’t show up that I got an elite box,elite
883006326649ae5b807847c3cc240571,I want to be able to track the status of my monthly box so i know when to expect it but there's no way to do that.,elite
b362de6b4fd0a6feb285c608a5eef9fc,"I'm not sure.. maybe Bc I'm elite? ",elite
927db9991cae303596f58b05925152e7,First time shopper. So many popups. Couldn't get to the bathing suit I saw advertised on FB. So frustrating!,popups
6e15b6ed67aa00fdb57391312c346b22,i havent started yet,popups
f6d429e0db260a2877f3ebeab6e9b68f,You popped up as soon as I started.,popups
e92f35424b39144dca9418c8d4028d0b,did survery first,popups
3e46b2287f4e3859a63e9e350288889f,Did survey first,popups
ios152254080015,Survey request popped up.,popups
11547e3a51976e6585f3c9b84d1981ff,survey popup,popups
a6f436458b3cdfd291553dafa529b838,just got to page when this popped up,popups
f9f17bb71bfa57f5d7543a8a1c28b90c,"taking the survey ",popups
c5725b63bf6b5ddb78b00beb64204249,BECAUSE I DECIDED TO TAKE THE SURVEY FIRST BECAUSE I NEVER KNOW HOW TO COME BACK TO IT!,popups
1f735cc9e5e1cd2c373574abb7e55577,went straight to the Survey,popups
fba9f13758fb9320a9a9b41669790489,interruption,popups
ios1521158400493,"Was interrupted ",popups
c0bccc7b35f7ade907fdc039679894ff,"I have not been able to look at anything yet, your pop-up asking for me to do the survey came up before I could.",popups
ios1521158400459,Interrupted,popups
dc5b7a8178b05ae190c7a6a3b2c1cbc2,"It was listed on the website as having the size and style I wanted, but when I tried to purchase, it said it was inactive. There is nowhere to be put on a waiting list either, causing me to have to shop for this style elsewhere. ",feature
4b4a8c6f5dca5f484b21b53d6d82fcd9,"I'll continue looking...I'm torn between two bra sets & swim cover up. ",undecided
4658b33670b7072ff860f5006db051ca,still looking,undecided
f7090cb09b81757ed48a551f4519f74f,Just browsing for birthday present for wife,undecided
ios15227136003,"Couldn’t make up my mind. Will be browsing more ",undecided
215781cb0cd6889d0f74c41e7d602f92,I'm still looking.,undecided
